;model_paths;pruning_type;model_type;gpd_base;seed;finetuned;dataset;metric;metric_used
100;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_FT_SEED_112.pth;random;PD5;30;112;True;CIFAR10;93.92;accuracy
101;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_FT_SEED_167.pth;random;PD5;30;167;True;CIFAR10;93.87;accuracy
102;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_FT_SEED_23.pth;random;PD5;30;23;True;CIFAR10;94.1;accuracy
103;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_FT_SEED_42.pth;random;PD5;30;42;True;CIFAR10;93.9;accuracy
104;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_FT_SEED_97.pth;random;PD5;30;97;True;CIFAR10;93.93;accuracy
105;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_SEED_112.pth;random;PD5;30;112;False;CIFAR10;10;accuracy
106;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_SEED_167.pth;random;PD5;30;167;False;CIFAR10;10;accuracy
107;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_SEED_23.pth;random;PD5;30;23;False;CIFAR10;10;accuracy
108;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_SEED_42.pth;random;PD5;30;42;False;CIFAR10;10;accuracy
109;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-30_PRUNED_SEED_97.pth;random;PD5;30;97;False;CIFAR10;10;accuracy
110;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-50_PRUNED_FT_SEED_112.pth;random;PD5;50;112;True;CIFAR10;92.35;accuracy
111;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-50_PRUNED_FT_SEED_167.pth;random;PD5;50;167;True;CIFAR10;92.25;accuracy
112;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-50_PRUNED_FT_SEED_23.pth;random;PD5;50;23;True;CIFAR10;91.78;accuracy
113;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-50_PRUNED_FT_SEED_42.pth;random;PD5;50;42;True;CIFAR10;92.31;accuracy
114;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-50_PRUNED_FT_SEED_97.pth;random;PD5;50;97;True;CIFAR10;92.31;accuracy
115;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-50_PRUNED_SEED_112.pth;random;PD5;50;112;False;CIFAR10;10;accuracy
116;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-50_PRUNED_SEED_167.pth;random;PD5;50;167;False;CIFAR10;10;accuracy
117;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-50_PRUNED_SEED_23.pth;random;PD5;50;23;False;CIFAR10;10;accuracy
118;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-50_PRUNED_SEED_42.pth;random;PD5;50;42;False;CIFAR10;10;accuracy
119;models/CIFAR10\VGG16_CIFAR10_random_PD5_GPD-50_PRUNED_SEED_97.pth;random;PD5;50;97;False;CIFAR10;10;accuracy
120;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-20_PRUNED_FT_SEED_112.pth;random;PD4;20;112;True;CIFAR10;94.59;accuracy
121;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-20_PRUNED_FT_SEED_167.pth;random;PD4;20;167;True;CIFAR10;94.59;accuracy
122;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-20_PRUNED_FT_SEED_23.pth;random;PD4;20;23;True;CIFAR10;94.63;accuracy
123;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-20_PRUNED_FT_SEED_42.pth;random;PD4;20;42;True;CIFAR10;94.58;accuracy
124;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-20_PRUNED_FT_SEED_97.pth;random;PD4;20;97;True;CIFAR10;94.48;accuracy
125;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-20_PRUNED_SEED_112.pth;random;PD4;20;112;False;CIFAR10;10;accuracy
126;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-20_PRUNED_SEED_167.pth;random;PD4;20;167;False;CIFAR10;10;accuracy
127;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-20_PRUNED_SEED_23.pth;random;PD4;20;23;False;CIFAR10;10;accuracy
128;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-20_PRUNED_SEED_42.pth;random;PD4;20;42;False;CIFAR10;10;accuracy
129;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-20_PRUNED_SEED_97.pth;random;PD4;20;97;False;CIFAR10;10.03;accuracy
130;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-30_PRUNED_FT_SEED_112.pth;random;PD4;30;112;True;CIFAR10;93.95;accuracy
131;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-30_PRUNED_FT_SEED_167.pth;random;PD4;30;167;True;CIFAR10;94.54;accuracy
132;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-30_PRUNED_FT_SEED_23.pth;random;PD4;30;23;True;CIFAR10;93.91;accuracy
133;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-30_PRUNED_FT_SEED_42.pth;random;PD4;30;42;True;CIFAR10;93.99;accuracy
134;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-30_PRUNED_FT_SEED_97.pth;random;PD4;30;97;True;CIFAR10;94.28;accuracy
135;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-30_PRUNED_SEED_112.pth;random;PD4;30;112;False;CIFAR10;10;accuracy
136;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-30_PRUNED_SEED_167.pth;random;PD4;30;167;False;CIFAR10;10;accuracy
137;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-30_PRUNED_SEED_23.pth;random;PD4;30;23;False;CIFAR10;10;accuracy
138;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-30_PRUNED_SEED_42.pth;random;PD4;30;42;False;CIFAR10;10;accuracy
139;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-30_PRUNED_SEED_97.pth;random;PD4;30;97;False;CIFAR10;10;accuracy
140;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-50_PRUNED_FT_SEED_112.pth;random;PD4;50;112;True;CIFAR10;92.57;accuracy
141;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-50_PRUNED_FT_SEED_167.pth;random;PD4;50;167;True;CIFAR10;92.53;accuracy
142;models/CIFAR10\VGG16_CIFAR10_random_PD4_GPD-50_PRUNED_FT_SEED_23.pth;random;PD4;50;23;True;CIFAR10;92.54;accuracy
